date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:17:42	82752/82752	---MC-	200	added ('200')	text/html	date:Wed,%2015%20Dec%202021%2007:17:19%20GMT	https://www.josunhotel.com/intro.do	C:/Users/na__l/Desktop/web_pf/sbs_web_pf/%ec%a1%b0%ec%84%a0%ed%98%b8%ed%85%94%20%eb%aa%a8%ec%9e%91/josun/www.josunhotel.com/intro.html	(from )
16:17:42	66/66	---M--	200	added ('OK')	text/plain	etag:%2242-5bb69e1ee3c00%22	https://www.josunhotel.com/robots.txt		(from )
16:17:43	13928/13928	---M--	200	added ('OK')	image/png	etag:%223668-5b85887e33300%22	https://josunhotel.com/static/home/images/josunhotel_og.png	C:/Users/na__l/Desktop/web_pf/sbs_web_pf/%ec%a1%b0%ec%84%a0%ed%98%b8%ed%85%94%20%eb%aa%a8%ec%9e%91/josun/josunhotel.com/static/home/images/josunhotel_og.png	(from https://www.josunhotel.com/intro.do)
16:17:43	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2247e-5ad3b322c6800%22	https://www.josunhotel.com/static/home/images/ko/pc/common/favicon.ico	C:/Users/na__l/Desktop/web_pf/sbs_web_pf/%ec%a1%b0%ec%84%a0%ed%98%b8%ed%85%94%20%eb%aa%a8%ec%9e%91/josun/www.josunhotel.com/static/home/images/ko/pc/common/favicon.ico	(from https://www.josunhotel.com/intro.do)
16:17:43	16475/16475	---M--	200	added ('OK')	text/css	etag:%22405b-5cf16c1404c80%22	https://www.josunhotel.com/static/home/css/ko/pc/common_josunhotel.css	C:/Users/na__l/Desktop/web_pf/sbs_web_pf/%ec%a1%b0%ec%84%a0%ed%98%b8%ed%85%94%20%eb%aa%a8%ec%9e%91/josun/www.josunhotel.com/static/home/css/ko/pc/common_josunhotel.css	(from https://www.josunhotel.com/intro.do)
16:17:43	34160/34160	---M--	200	added ('OK')	text/css	etag:%228570-5c8a39013e280%22	https://www.josunhotel.com/static/home/css/ko/pc/main_josunhotel.css	C:/Users/na__l/Desktop/web_pf/sbs_web_pf/%ec%a1%b0%ec%84%a0%ed%98%b8%ed%85%94%20%eb%aa%a8%ec%9e%91/josun/www.josunhotel.com/static/home/css/ko/pc/main_josunhotel.css	(from https://www.josunhotel.com/intro.do)
16:17:43	2219/2219	---M--	200	added ('OK')	text/css	etag:%228ab-5b7a3e9771100%22	https://www.josunhotel.com/static/home/bluewaves/css/pc/contents.css	C:/Users/na__l/Desktop/web_pf/sbs_web_pf/%ec%a1%b0%ec%84%a0%ed%98%b8%ed%85%94%20%eb%aa%a8%ec%9e%91/josun/www.josunhotel.com/static/home/bluewaves/css/pc/contents.css	(from https://www.josunhotel.com/intro.do)
16:17:44	88145/88145	---M--	200	added ('OK')	application/javascript	etag:%2215851-5b563514ddb80%22	https://www.josunhotel.com/static/home/js/ko/pc/jquery-3.4.1.min.js	C:/Users/na__l/Desktop/web_pf/sbs_web_pf/%ec%a1%b0%ec%84%a0%ed%98%b8%ed%85%94%20%eb%aa%a8%ec%9e%91/josun/www.josunhotel.com/static/home/js/ko/pc/jquery-3.4.1.min.js	(from https://www.josunhotel.com/intro.do)
16:17:44	511462/511462	---M--	200	added ('OK')	application/javascript	etag:%227cde6-5ba047f10db80%22	https://www.josunhotel.com/static/home/js/ko/pc/pubPlugin.js	C:/Users/na__l/Desktop/web_pf/sbs_web_pf/%ec%a1%b0%ec%84%a0%ed%98%b8%ed%85%94%20%eb%aa%a8%ec%9e%91/josun/www.josunhotel.com/static/home/js/ko/pc/pubPlugin.js	(from https://www.josunhotel.com/intro.do)
16:17:44	141171/141171	---M--	200	added ('OK')	application/javascript	etag:%2222773-5d2886b1cfb80%22	https://www.josunhotel.com/static/home/js/ko/pc/pubCommon_contents.js	C:/Users/na__l/Desktop/web_pf/sbs_web_pf/%ec%a1%b0%ec%84%a0%ed%98%b8%ed%85%94%20%eb%aa%a8%ec%9e%91/josun/www.josunhotel.com/static/home/js/ko/pc/pubCommon_contents.js	(from https://www.josunhotel.com/intro.do)
